T	h	u	s	pr	vr
360	85.97	61.29	0.50369	0.3363	396.6
380	90.75	64.7	0.51663	0.4061	346.6
400	95.53	68.11	0.5289	0.4858	305
420	100.32	71.52	0.54058	0.576	270.1
440	105.11	74.93	0.55172	0.6776	240.6
460	109.9	78.36	0.56235	0.7913	215.33
480	114.69	81.77	0.57255	0.9182	193.65
500	119.48	85.2	0.58233	1.059	174.9
520	124.27	88.62	0.59172	1.2147	158.58
537	128.34	91.53	0.59945	1.3593	146.34
540	129.06	92.04	0.60078	1.386	144.32
560	133.86	95.47	0.6095	1.5742	131.78
580	138.66	98.9	0.61793	1.78	120.7
600	143.47	102.34	0.62607	2.005	110.88
620	148.28	105.78	0.63395	2.249	102.12
640	153.09	109.21	0.64159	2.514	94.3
660	157.92	112.67	0.64902	2.801	87.27
680	162.73	116.12	0.65621	3.111	80.96
700	167.56	119.58	0.66321	3.446	75.25
720	172.39	123.04	0.67002	3.806	70.07
740	177.23	126.51	0.67665	4.193	65.38
760	182.08	129.99	0.68312	4.607	61.1
780	186.94	133.47	0.68942	5.051	57.2
800	191.81	136.97	0.69558	5.526	53.63
820	196.69	140.47	0.7016	6.033	50.35
840	201.56	143.98	0.70747	6.573	47.34
860	206.46	147.5	0.71323	7.149	44.57
880	211.35	151.02	0.71886	7.761	42.01
900	216.26	154.57	0.72438	8.411	39.64
920	221.18	158.12	0.72979	9.102	37.44
940	226.11	161.68	0.73509	9.834	35.41
960	231.06	165.26	0.7403	10.61	33.52
980	236.02	168.83	0.7454	11.43	31.76
1000	240.98	172.43	0.75042	12.3	30.12
1040	250.95	179.66	0.76019	14.18	27.17
1080	260.97	186.93	0.76964	16.28	24.58
1120	271.03	194.25	0.7788	18.6	22.3
1160	281.14	201.63	0.78767	21.18	20.29
1200	291.3	209.05	0.79628	24.01	18.51
1240	301.52	216.53	0.80466	27.13	16.93
1280	311.79	224.05	0.8128	30.55	15.52
1320	322.11	231.63	0.82075	34.31	14.25
1360	332.48	239.25	0.82848	38.41	13.12
1400	342.9	246.93	0.83604	42.88	12.1
1440	353.37	254.66	0.84341	47.75	11.17
1480	363.89	262.44	0.85062	53.04	10.34
1520	374.47	270.26	0.85767	58.78	9.578
1560	385.08	278.13	0.86456	65	8.89
1600	395.74	286.06	0.8713	71.73	8.263
1650	409.13	296.03	0.87954	80.89	7.556
1700	422.59	306.06	0.88758	90.95	6.924
1750	436.12	316.16	0.89542	101.98	6.357
1800	449.71	326.32	0.90308	114	5.847
1850	463.37	336.55	0.91056	127.2	5.388
1900	477.09	346.85	0.91788	141.5	4.974
1950	490.88	357.2	0.92504	157.1	4.598
2000	504.71	367.61	0.93205	174	4.258
2050	518.61	378.08	0.93891	192.3	3.949
2100	532.55	388.6	0.94564	212.1	3.667
2150	546.54	399.17	0.95222	233.5	3.41
2200	560.59	409.78	0.95868	256.6	3.176
2250	574.69	420.46	0.96501	281.4	2.961
2300	588.82	431.16	0.97123	308.1	2.765
2350	603	441.91	0.97732	336.8	2.585
2400	617.22	452.7	0.98331	367.6	2.419
2450	631.48	463.54	0.98919	400.5	2.266
2500	645.78	474.4	0.99497	435.7	2.125
2550	660.12	485.31	1.00064	473.3	1.996
2600	674.49	496.26	1.00623	513.5	1.876
2650	688.9	507.25	1.01172	556.3	1.765
2700	703.35	518.26	1.01712	601.9	1.662
2750	717.83	529.31	1.02244	650.4	1.566
2800	732.33	540.4	1.02767	702	1.478
2850	746.88	551.52	1.03282	756.7	1.395
2900	761.45	562.66	1.03788	814.8	1.318
2950	776.05	573.84	1.04288	876.4	1.247
3000	790.68	585.04	1.04779	941.4	1.18
3050	805.34	596.28	1.05264	1011	1.118
3100	820.03	607.53	1.05741	1083	1.06
3150	834.75	618.82	1.06212	1161	1.006
3200	849.48	630.12	1.06676	1242	0.9546
3250	864.24	641.46	1.07134	1328	0.9069
3300	879.02	652.81	1.07585	1418	0.8621
3350	893.83	664.2	1.08031	1513	0.8202
3400	908.66	675.6	1.0847	1613	0.7807
3450	923.52	687.04	1.08904	1719	0.7436
3500	938.4	698.48	1.09332	1829	0.7087
3550	953.3	709.95	1.09755	1946	0.6759
3600	968.21	721.44	1.10172	2068	0.6449
3650	983.15	732.95	1.10584	2196	0.6157
3700	998.11	744.48	1.10991	2330	0.5882
3750	1013.1	756.04	1.11393	2471	0.5621
3800	1028.1	767.6	1.11791	2618	0.5376
3850	1043.1	779.19	1.12183	2773	0.5143
3900	1058.1	790.8	1.12571	2934	0.4923
3950	1073.2	802.43	1.12955	3103	0.4715
4000	1088.3	814.06	1.13334	3280	0.4518
4050	1103.4	825.72	1.13709	3464	0.4331
4100	1118.5	837.4	1.14079	3656	0.4154
4150	1133.6	849.09	1.14446	3858	0.3985
4200	1148.7	860.81	1.14809	4067	0.3826
4300	1179	884.28	1.15522	4513	0.3529
4400	1209.4	907.81	1.16221	4997	0.3262
4500	1239.9	931.39	1.16905	5521	0.3019
4600	1270.4	955.04	1.17575	6089	0.2799
4700	1300.9	978.73	1.18232	6701	0.2598
4800	1331.5	1002.5	1.18876	7362	0.2415
4900	1362.2	1026.3	1.19508	8073	0.2248
5000	1392.9	1050.1	1.20129	8837	0.2096
5100	1423.6	1074	1.20738	9658	0.1956
5200	1454.4	1098	1.21336	10539	0.1828
5300	1485.3	1122	1.21923	11481	0.171
